id,url,name,category,description,isActive,isPublic,lastFetchAt,refreshIntervalSeconds,refreshCron,errorCount,lastErrorMessage,createdAt,updatedAt,articleCount,subscriberCount
,https://plink.anyfeeder.com/bbc/world,BBC,时政,提供全球重大时政、经济与社会事件的客观、严谨报道。,TRUE,TRUE,,,,,,,,,
,https://cn.nytimes.com/rss,纽约时报,时政,提供深度的国际新闻、商业报道、专栏评论及中美政商动态分析。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/cankaoxiaoxi/column/gj,参考消息,时政,汇集全球各大主流媒体的重要新闻，提供中国官方视角的国际资讯解读。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/thepaper/featured,澎湃头条,时事,聚焦国内重要时政、社会热点与民生新闻，提供高质量的深度原创报道。,TRUE,TRUE,,,,,,,,,
,http://www.ftchinese.com/rss/news,FT中文网,商业,英国《金融时报》中文网，提供全球宏观经济、金融市场及商业深度的权威报道。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/jiemian/lists/15,界面财经,商业,聚焦国内重磅商业大事件、公司动态、财报分析与资本市场异动。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/huxiu/article,虎嗅,商业,关注前沿科技与商业创新的资讯平台，提供带有独立视角的商业分析与评论。,TRUE,TRUE,,,,,,,,,
,https://techcrunch.com/feed,TechCrunch,科技,全球领先的科技媒体，报道硅谷巨头动向、初创企业、创投圈快讯及新产品发布。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/geekpark/highviews,极客公园,科技,专注于前沿科技、人工智能发展趋势、大模型应用及互联网巨头动态的深度报道。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/aibase/news,AIBase,科技,垂直于人工智能领域的资讯平台，涵盖 AI 新应用发布、工具评测与行业实战案例。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/36kr/news,36Kr,科技,中国领先的创投及商业新媒体，报道互联网大厂动态、泛商业快讯与创业投资趋势。,TRUE,TRUE,,,,,,,,,
,https://www.expreview.com/rss.php,超能网,硬件,硬核的 PC 硬件评测媒体，提供 CPU、GPU 等电脑硬件的架构解析与首发深度评测。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/cnbeta,cnBeta,硬件,老牌中文 IT 资讯站，快速追踪软硬件系统更新、半导体行业动态及科技前沿资讯。,TRUE,TRUE,,,,,,,,,
,https://www.ifanr.com/feed,爱范儿,数码,报道优质消费电子产品、智能硬件发布，并解读前沿数字生活方式与消费趋势。,TRUE,TRUE,,,,,,,,,
,https://sspai.com/feed,少数派,数码,致力于高效工作与数字生活，提供优质的软件推荐、苹果生态体验及极客生活方式分享。,TRUE,TRUE,,,,,,,,,
,https://virgooooox.github.io/rssxcx/feed.xml,新出行,汽车,专注新能源汽车（EV）领域的垂直媒体，报道重磅车型发布、智能驾驶技术与深度车评。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/t66y/7,草榴,极客,知名社区的技术讨论版块，汇集网友分享的硬核技术教程、代码探讨与互联网经验。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/dongqiudi/daily,懂球帝早报,体育,每天清晨汇总过去 24 小时国际足坛的重要比分、赛事战况、转会动态及足坛焦点新闻。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/dongqiudi/team_news/50001756,巴萨,体育,西甲巴塞罗那足球俱乐部的专属新闻频道，追踪球队赛事、球员动态及转会传闻。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/gamersky/news,游民星空,游戏,国内领先的单机游戏门户，报道主流 3A 游戏大作发售、媒体评分、游戏行业动态及主机资讯。,TRUE,TRUE,,,,,,,,,
,https://rss.198909.xyz:37891/douban/movie/weekly,豆瓣电影,文娱,豆瓣每周根据真实用户评分汇编的影视口碑榜单，推荐近期高质量的院线及流媒体电影。,TRUE,TRUE,,,,,,,,,
